FID	IID	Sex	SVL..cm.	RHL..cm.	relRHL.SVL	relRHL.SVL.Sex
SD-17-0097_S325_L004	SD-17-0097_S325_L004	F	5.9	2.3	-0.20741367	-0.165840338
SD-17-0139_S371_L004	SD-17-0139_S371_L004	F	6.7	2.9	0.092937246	0.132067038
SD-17-0144_S326_L004	SD-17-0144_S326_L004	F	6.9	3.1	0.218024976	0.256543882
SD-17-0166_S310_L004	SD-17-0166_S310_L004	F	5.6	2.6	0.204954736	0.247444396
SD-17-0183_S309_L004	SD-17-0183_S309_L004	F	5.4	2.3	-0.020132993	0.022967552
SD-17-0210_S372_L004	SD-17-0210_S372_L004	F	6.6	2.9	0.130393382	0.169828616
SD-17-0237_S311_L004	SD-17-0237_S311_L004	F	6.7	3.1	0.292937246	0.332067038
SD-17-0278_S329_L004	SD-17-0278_S329_L004	F	6.4	2.9	0.205305653	0.245351772
SD-17-0310_S306_L004	SD-17-0310_S306_L004	F	6.5	2.9	0.167849517	0.207590194
SD-AL-058_S236_L003	SD-AL-058_S236_L003	NA	NA	NA	NA	NA
